DataCode,DataDesc,Chat,Jess,Jess0,Label
5000,sent [chat] of [type],I = .00774468,SSI-O,SSI,11.0
5000,sent [chat] of [type],double my intention,SMC-O,SMC,3.0
5000,sent [chat] of [type],that's exactly what I got,SESU-A,SESU,1.0
5000,sent [chat] of [type],Take your req voltage,CEC-S,CEC,4.0
5000,sent [chat] of [type],but it still didn't give me the right vallues,SN-D,SN,10.0
5000,sent [chat] of [type],Divide by .00774468,CEC-S,CEC,4.0
5000,sent [chat] of [type],And set your R to that,CEC-S,CEC,4.0
4400,performed [calculation] with [result],3.02/.00774468,CE-E,CE,5.0
5000,sent [chat] of [type],Mine is 390,SSI-O,SSI,11.0
4400,performed [calculation] with [result],78/.0077468,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4400,performed [calculation] with [result],2.56/.00774468,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4400,performed [calculation] with [result],.78/.00774468,CE-E,CE,5.0
5000,sent [chat] of [type],damn I missed one decimal place,SSI-U,SSI,11.0
5000,sent [chat] of [type],.78 try 100,CEC-S,CEC,4.0
5000,sent [chat] of [type],my bad,SMC-R,SMC,3.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4400,performed [calculation] with [result],2.56/.0077468,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],And 2.56 try 330,CEC-S,CEC,4.0
5000,sent [chat] of [type],GOT IT,CMC-S,CMC,2.0
5000,sent [chat] of [type],we got it,CMC-S,CMC,2.0
5000,sent [chat] of [type],im there,CMC-S,CMC,2.0
5000,sent [chat] of [type],YAAAAAAy,SMC-R,SMC,3.0
6000,clicked submit,,CM-S,CM,7.0
4400,performed [calculation] with [result],10068.67352,CE-E,CE,5.0
5000,sent [chat] of [type],what are youre curernt values,SESU-P,SESU,1.0
5000,sent [chat] of [type],lets find E,CP-S,CP,8.0
5000,sent [chat] of [type],4.64?,SESU-P,SESU,1.0
5000,sent [chat] of [type],im 4.41,SSI-O,SSI,11.0
5000,sent [chat] of [type],4.69,SSI-O,SSI,11.0
5000,sent [chat] of [type],How,SESU-P,SESU,1.0
5000,sent [chat] of [type],How can it be different we're in series,CRF-R,CRF,9.0
5000,sent [chat] of [type],"Im set to DCV 20 on my meter, how about yall?",SESU-P,SESU,1.0
5000,sent [chat] of [type],That's voltage,SSI-O,SSI,11.0
5000,sent [chat] of [type],"I know, im asking for your voltages",SESU-P,SESU,1.0
5000,sent [chat] of [type],0.44,SSI-O,SSI,11.0
5000,sent [chat] of [type],0.53,SSI-O,SSI,11.0
5000,sent [chat] of [type],in DCV 20?,SESU-P,SESU,1.0
5000,sent [chat] of [type],yes,SN-A,SN,10.0
5000,sent [chat] of [type],YAH,SN-A,SN,10.0
5000,sent [chat] of [type],im at 4.41,SSI-O,SSI,11.0
5000,sent [chat] of [type],volts?,SESU-P,SESU,1.0
5000,sent [chat] of [type],You're sucking up all the voltage,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],"look here bucko, im set to DCV 20, if thats not volts than im not sure what is",CRF-F,CRF,9.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],Okay I'm at 1.76 now I just had to crank that R,SSI-O,SSI,11.0
5000,sent [chat] of [type],what are your goals,SESU-P,SESU,1.0
5000,sent [chat] of [type],my goal is .7,SSI-O,SSI,11.0
5000,sent [chat] of [type],1.83,SSI-O,SSI,11.0
5000,sent [chat] of [type],2.63,SSI-O,SSI,11.0
5000,sent [chat] of [type],are we supposed to get an E value first?,SESU-P,SESU,1.0
5000,sent [chat] of [type],Ok,SESU-A,SESU,1.0
5000,sent [chat] of [type],Put in your current volts,CP-S,CP,8.0
5000,sent [chat] of [type],This very second,SSI-O,SSI,11.0
5000,sent [chat] of [type],3.73volts,SSI-O,SSI,11.0
5000,sent [chat] of [type],Because if we know I and we know each V then we can find Vtot,CRF-F,CRF,9.0
5000,sent [chat] of [type],yes cake,SN-A,SN,10.0
5000,sent [chat] of [type],i agrre,SN-A,SN,10.0
5000,sent [chat] of [type],0.45,SSI-O,SSI,11.0
5000,sent [chat] of [type],but we don't know v0,SSI-O,SSI,11.0
4400,performed [calculation] with [result],4.64*820+3.73+1.76+.45,CE-E,CE,5.0
5000,sent [chat] of [type],Uhh,SESU-A,SESU,1.0
5000,sent [chat] of [type],its r * I,SSI-O,SSI,11.0
5000,sent [chat] of [type],V0 = IR0,SSI-O,SSI,11.0
5000,sent [chat] of [type],I got E = 3810.74 which is HIGH,SSI-O,SSI,11.0
5000,sent [chat] of [type],duh dumb me,SSI-U,SSI,11.0
5000,sent [chat] of [type],You're not dumb,SMC-R,SMC,3.0
5000,sent [chat] of [type],My I is 4.64,SSI-O,SSI,11.0
5000,sent [chat] of [type],why the hell do I have a different I,SESU-P,SESU,1.0
5000,sent [chat] of [type],(4.64)(820) + 1.76 +.45 + 3.73,SSI-O,SSI,11.0
5000,sent [chat] of [type],Idk that's strange,SSI-U,SSI,11.0
4400,performed [calculation] with [result],4.64*820+1.76+.45+3.73,CE-E,CE,5.0
5000,sent [chat] of [type],so E is?,SESU-P,SESU,1.0
5000,sent [chat] of [type],"just to make sure we are all using the meter the same, are we all at 20m in the Amp portion of the meter>",SESU-P,SESU,1.0
5000,sent [chat] of [type],,SMC-O,SMC,3.0
5000,sent [chat] of [type],I'm getting 3810.74 but unless this is some nuclear testing facility idk if that's possible,SSI-O,SSI,11.0
5000,sent [chat] of [type],Yes,SN-A,SN,10.0
5000,sent [chat] of [type],lol yes,SN-A,SN,10.0
5000,sent [chat] of [type],cake are your sure you're reading it correctly ?,SESU-P,SESU,1.0
5000,sent [chat] of [type],can we include units on any numbers we message in,SESU-P,SESU,1.0
5000,sent [chat] of [type],please,SESU-A,SESU,1.0
5000,sent [chat] of [type],Amp 20m,SSI-O,SSI,11.0
5000,sent [chat] of [type],4.64,SSI-O,SSI,11.0
5000,sent [chat] of [type],ROGER!?,SESU-A,SESU,1.0
5000,sent [chat] of [type],3.39 amps .45 v,SSI-O,SSI,11.0
5000,sent [chat] of [type],1.76 V,SSI-O,SSI,11.0
5000,sent [chat] of [type],"I'm 6.38A,  3.73 volts",SSI-O,SSI,11.0
5000,sent [chat] of [type],Current should be the same in series. Game obviously broken,CRF-R,CRF,9.0
5000,sent [chat] of [type],"I really don't know why it's different, jokes aside",SSI-U,SSI,11.0
5000,sent [chat] of [type],you know what,SESU-P,SESU,1.0
5000,sent [chat] of [type],what,SESU-P,SESU,1.0
5000,sent [chat] of [type],I think we should submit an E value first,CP-G,CP,8.0
5000,sent [chat] of [type],Ok,SESU-A,SESU,1.0
5000,sent [chat] of [type],I vote 5,SSI-O,SSI,11.0
5000,sent [chat] of [type],ok,SESU-A,SESU,1.0
5000,sent [chat] of [type],5 volts,SSI-O,SSI,11.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
5000,sent [chat] of [type],Wrong LOL,CMC-S,CMC,2.0
5000,sent [chat] of [type],lol,SMC-R,SMC,3.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
5000,sent [chat] of [type],fudge,SMC-O,SMC,3.0
5000,sent [chat] of [type],Looks like 3810 isn't it either,SN-D,SN,10.0
5000,sent [chat] of [type],Shucks,SMC-R,SMC,3.0
5000,sent [chat] of [type],lmao,SMC-R,SMC,3.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
5000,sent [chat] of [type],We're staying here til midnight to figure this one out. Hope y'all finished the flipit,SMC-O,SMC,3.0
4400,performed [calculation] with [result],2.63+1.83+.7,CE-E,CE,5.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
5000,sent [chat] of [type],"I did not, I think she will give us an extension",SMC-O,SMC,3.0
5000,sent [chat] of [type],*cough*,SMC-O,SMC,3.0
5000,sent [chat] of [type],I fold,SMC-O,SMC,3.0
5000,sent [chat] of [type],We never had a chance,SMC-O,SMC,3.0
5000,sent [chat] of [type],It was rigged,SMC-O,SMC,3.0
5000,sent [chat] of [type],Bye guys,SMC-O,SMC,3.0
5000,sent [chat] of [type],love you both,SMC-O,SMC,3.0
5000,sent [chat] of [type],bye I,SMC-O,SMC,3.0
5000,sent [chat] of [type],wut,SMC-O,SMC,3.0
5000,sent [chat] of [type],*i'll miss you,SMC-O,SMC,3.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],My goal is 4 volts,,Null,0.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
5000,sent [chat] of [type],same,,Null,0.0
5000,sent [chat] of [type],diito,,Null,0.0
4400,performed [calculation] with [result],16/680,CE-E,CE,5.0
5000,sent [chat] of [type],does that mean all of our resistors combined should make it or just our own?,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
5000,sent [chat] of [type],im guessing R0 is also 4 volts,,Null,0.0
5000,sent [chat] of [type],therefore the current is 4/680,,Null,0.0
4400,performed [calculation] with [result],4/680,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
5000,sent [chat] of [type],which is .00588 Amps,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
5000,sent [chat] of [type],yeppers,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
6000,clicked submit,,CM-S,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4400,performed [calculation] with [result],4/.00588,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,,Null,0.0
5000,sent [chat] of [type],what are you guys using as your resistor value and voltage?,,Null,0.0
5000,sent [chat] of [type],I tried using 680,,Null,0.0
5000,sent [chat] of [type],got 4.18 votls,,Null,0.0
5000,sent [chat] of [type],RIP,,Null,0.0
5000,sent [chat] of [type],or at least what is your dcv set to,,Null,0.0
5000,sent [chat] of [type],cuz i had 4.1 at one point,,Null,0.0
5000,sent [chat] of [type],DCV is set to 20,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CP-S,CP,8.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
3500,opened zoom,,,Null,0.0
4500,viewed [board] in zoom,1,,Null,0.0
4500,viewed [board] in zoom,1,,Null,0.0
4500,viewed [board] in zoom,2,,Null,0.0
4500,viewed [board] in zoom,3,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4500,viewed [board] in zoom,2,,Null,0.0
4500,viewed [board] in zoom,3,,Null,0.0
4500,viewed [board] in zoom,2,CE-E,CE,5.0
4500,viewed [board] in zoom,3,CE-E,CE,5.0
4500,viewed [board] in zoom,2,,Null,0.0
4500,viewed [board] in zoom,1,,Null,0.0
4500,viewed [board] in zoom,3,,Null,0.0
4500,viewed [board] in zoom,2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
5000,sent [chat] of [type],I got 4,,Null,0.0
5000,sent [chat] of [type],yep,SMC-O,SMC,3.0
5000,sent [chat] of [type],we did it,SMC-R,SMC,3.0
5000,sent [chat] of [type],gj,CM-G,CM,7.0
6000,clicked submit,,CM-S,CM,7.0
5000,sent [chat] of [type],what now,,Null,0.0
5000,sent [chat] of [type],next i guess,,Null,0.0
5000,sent [chat] of [type],mine is 2.5 votls,SSI-O,SSI,11.0
5000,sent [chat] of [type],volts*,SESU-A,SESU,1.0
5000,sent [chat] of [type],same,SESU-A,SESU,1.0
5000,sent [chat] of [type],same. E=10 and R0=820,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CEU,CEU,6.0
5000,sent [chat] of [type],same thing change resistor value to 820,CP-S,CP,8.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],got it,CMC-S,CMC,2.0
5000,sent [chat] of [type],done,CEC-R,CEC,4.0
6000,clicked submit,,CM-S,CM,7.0
5000,sent [chat] of [type],gj,SMC-O,SMC,3.0
5000,sent [chat] of [type],next,SMC-R,SMC,3.0
3500,opened zoom,,CM-G,CM,7.0
6000,clicked submit,,CM-S,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
5000,sent [chat] of [type],Mine is 1.04 volts,SSI-O,SSI,11.0
5000,sent [chat] of [type],2.82 volts,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
5000,sent [chat] of [type],2.3 goal. E=12 and Ro=560,SSI-O,SSI,11.0
5000,sent [chat] of [type],V0 is 12 - 1.04-2.82-2.3,SSI-O,SSI,11.0
4400,performed [calculation] with [result],12-1.04-2.82-2.3,CE-E,CE,5.0
5000,sent [chat] of [type],5.84 volts,SSI-O,SSI,11.0
4400,performed [calculation] with [result],5.840000000000001/560,CE-E,CE,5.0
5000,sent [chat] of [type],i set my resitance to 560,SSI-O,SSI,11.0
5000,sent [chat] of [type],current is .0104,SSI-O,SSI,11.0
3500,opened zoom,,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],"Divide the voltage value you need by that number,and thats your resistance valuea",CP-S,CP,8.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4400,performed [calculation] with [result],1.04/.0104,CE-E,CE,5.0
4400,performed [calculation] with [result],2.3/.0104,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],i did that and got 220 ohms,SSI-O,SSI,11.0
5000,sent [chat] of [type],got it,CMC-S,CMC,2.0
4400,performed [calculation] with [result],2.82/.0104,CE-E,CE,5.0
6000,clicked submit,,CM-S,CM,7.0
5000,sent [chat] of [type],good job,SMC-R,SMC,3.0
5000,sent [chat] of [type],goal is 1.02 volts,SSI-O,SSI,11.0
5000,sent [chat] of [type],I need .57 volts,SSI-O,SSI,11.0
5000,sent [chat] of [type],Ro is 270 and V is 3.87,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CEU,CEU,6.0
5000,sent [chat] of [type],Alright lets set E equal to 12volts just for reference,CP-S,CP,8.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],Then we can find V0,CP-G,CP,8.0
4400,performed [calculation] with [result],12-1.02-.57-3.87,CE-E,CE,5.0
5000,sent [chat] of [type],my current resistor is 470 ohm,SSI-O,SSI,11.0
5000,sent [chat] of [type],Which is V0 6.54,SSI-O,SSI,11.0
5000,sent [chat] of [type],ive got 1kilo ohm,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],East what is your resistor value,SESU-P,SESU,1.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],1.04,SSI-O,SSI,11.0
5000,sent [chat] of [type],1.02,SSI-O,SSI,11.0
5000,sent [chat] of [type],im sorry,SMC-R,SMC,3.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],It is 1.02,SSI-O,SSI,11.0
4400,performed [calculation] with [result],6.54/270,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],Current is .0242,SSI-O,SSI,11.0
5000,sent [chat] of [type],No your resistor,SN-D,SN,10.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],270,SSI-O,SSI,11.0
5000,sent [chat] of [type],oh shoot we have r0 different?,SESU-P,SESU,1.0
5000,sent [chat] of [type],I keep getting both above and below my number,SSI-O,SSI,11.0
5000,sent [chat] of [type],cant get exact same,SSI-O,SSI,11.0
5000,sent [chat] of [type],my Ro is 270,SSI-O,SSI,11.0
5000,sent [chat] of [type],"E is unknown, R0 = 270 ƒ??, your goal is to make your voltage 1.02 volts.",SSI-O,SSI,11.0
4400,performed [calculation] with [result],270+1000470,CE-E,CE,5.0
5000,sent [chat] of [type],Divide your voltage by .0242 and set that to be your resistor,CP-S,CP,8.0
4400,performed [calculation] with [result],1740*.0242,CE-E,CE,5.0
4400,performed [calculation] with [result],1.02/.0242,CE-E,CE,5.0
5000,sent [chat] of [type],north whats your goal,SESU-P,SESU,1.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4400,performed [calculation] with [result],3.87/.0242,CE-E,CE,5.0
4400,performed [calculation] with [result],12/.0242,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4400,performed [calculation] with [result],495.86776859504135-270,CE-E,CE,5.0
3500,opened zoom,,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
5000,sent [chat] of [type],I dont have a voltage rn. everybody makesure everyconnection is made,SSI-O,SSI,11.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
5000,sent [chat] of [type],same. im connected,SESU-A,SESU,1.0
4400,performed [calculation] with [result],.0242*42,CE-E,CE,5.0
5000,sent [chat] of [type],"@east, bro",SMC-R,SMC,3.0
5000,sent [chat] of [type],there it is,SESU-A,SESU,1.0
5000,sent [chat] of [type],Sorry it was my bad,SMC-R,SMC,3.0
5000,sent [chat] of [type],all good,SMC-R,SMC,3.0
4400,performed [calculation] with [result],3.54/.0242,CE-E,CE,5.0
5000,sent [chat] of [type],Didnt see that the small thing wasnt connected,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4400,performed [calculation] with [result],.0242*39,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],What did you set your resistor value to be at the moment?,SESU-P,SESU,1.0
4400,performed [calculation] with [result],3.87/.0242,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],mine is still at 470,SSI-O,SSI,11.0
5000,sent [chat] of [type],im at 150 but my calculated was 159,SSI-O,SSI,11.0
5000,sent [chat] of [type],We need to stop guessing and  calculate the values,CP-G,CP,8.0
4400,performed [calculation] with [result],.59/.0242,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],The thing is we might need to choose a different E to get our value,CP-S,CP,8.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4400,performed [calculation] with [result],3.87/270,CE-E,CE,5.0
5000,sent [chat] of [type],Lets try 16 volts for E,CP-S,CP,8.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
5000,sent [chat] of [type],wym?,SESU-P,SESU,1.0
5000,sent [chat] of [type],Can you put down your voltage goal again?,SESU-P,SESU,1.0
5000,sent [chat] of [type],and use same current?,SESU-P,SESU,1.0
5000,sent [chat] of [type],3.87,SSI-O,SSI,11.0
5000,sent [chat] of [type],0.57,SSI-O,SSI,11.0
5000,sent [chat] of [type],what is yours east,SESU-P,SESU,1.0
5000,sent [chat] of [type],The thing is we can find v0 if we just take a known battery voltage as a reference to find current,CP-S,CP,8.0
5000,sent [chat] of [type],1.02,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4400,performed [calculation] with [result],16-3.87-.57-1.02,CE-E,CE,5.0
4400,performed [calculation] with [result],1.02+.57+387,CE-E,CE,5.0
5000,sent [chat] of [type],v0 = 10.54,SSI-O,SSI,11.0
4400,performed [calculation] with [result],10.54/270,CE-E,CE,5.0
4400,performed [calculation] with [result],1.02+.57+3.87,CE-E,CE,5.0
5000,sent [chat] of [type],New current = .039,SSI-O,SSI,11.0
5000,sent [chat] of [type],sweet,SMC-R,SMC,3.0
4601,The user needs E and submitted the [correct/incorrect] E value of [e value] [e unit],incorrect,CM-S,CM,7.0
4400,performed [calculation] with [result],1.02/.039,CE-E,CE,5.0
4400,performed [calculation] with [result],1.8/.039,CE-E,CE,5.0
4400,performed [calculation] with [result],3.87/.039,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],Did you get something similar to the given resistance values/,SESU-P,SESU,1.0
5000,sent [chat] of [type],no,SN-D,SN,10.0
5000,sent [chat] of [type],"same, got 100 ohms",SESU-A,SESU,1.0
5000,sent [chat] of [type],And there was no value like that on the resistor?,SESU-P,SESU,1.0
4400,performed [calculation] with [result],.74/47,CE-E,CE,5.0
5000,sent [chat] of [type],has everyone set theirs to their calculated value?,CMC-G,CMC,2.0
5000,sent [chat] of [type],Yea,SN-A,SN,10.0
5000,sent [chat] of [type],I think,SN-A,SN,10.0
4400,performed [calculation] with [result],3.87/.039,CE-E,CE,5.0
5000,sent [chat] of [type],it isnt right though,CMC-S,CMC,2.0
5000,sent [chat] of [type],ill see if i can just shoot mine through the roof?,SESU-P,SESU,1.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
