,Text,Label,Label2
723,what circuit is what,SESU-P,11
724,I'm still trying to solve this,CEC-R,1
725,im just decreasing the resistor,CEC-R,1
726,same..,SESU-A,10
727,ig,SMC-O,13
728,same,SESU-A,10
729,My resistor is now at 10 ohms.,SSI-O,17
730,okay sweet,SESU-A,10
731,reading 1.74,SSI-O,17
732,150 with 3.52,SSI-O,17
733,im close to my goal with a 330 ohm resistor (goal 2.2 at 2.14),CMC-S,5
734,eagle,CMC-G,4
735,and im confused too,SSI-U,19
736,pause,CEC-S,2
737,What are we supposed to do with that?,SESU-P,11
738,im .01,SSI-O,17
739,which resistor band have we been changing,SESU-P,11
740,like to start or when we were close,SESU-P,11
741,its saying 0 now,SSI-O,17
742,okay so if 1.45=120*I,CRF-F,8
743,that makes it go to 7.08 then drops to 6.85,SSI-O,17
744,"right, then use the amps we find there",SN-A,15
745,but how do we find it?,SESU-P,11
746,11-5.64-3.85=1.51,SSI-O,17
747,should all have same curretn in a series i thought,SSI-O,17
748,wait i just got it,CMC-S,5
749,"I thought i understood this, but now i am very confused",SSI-U,19
750,mine is 4.5,SSI-O,17
751,now mines automaticalyl gone up to 1.89 volts,SSI-O,17
752,I thought so too but I guess not,SESU-A,10
753,"sorry, your right",SN-A,15
754,1.04 with 180,SSI-O,17
755,ohm,SESU-A,10
756,im still off,CMC-S,5
757,me either,SESU-A,10
758,no,SN-D,16
759,im close also at 270 ohm,CMC-S,5
760,1.65,SSI-O,17
761,I changed mine to 270?? and I am .02V off,CMC-S,5
762,E=8.13 V?,SESU-P,11
763,R= 850?,SESU-P,11
764,someone changed something now im a7 3.5,CP-G,6
765,680 with 4.64 v,SSI-O,17
766,3.42...,SSI-O,17
767,someone try upping the resistance by one step,CP-S,7
768,my goal is 1.95,SSI-O,17
769,Was,SSI-O,17
770,i guess for mine at least... do we all have the same values?,SESU-P,11
771,ie the original R value which I think was 6.8Kohms?,SESU-P,11
772,our current was the same v/r= 0.0035,SSI-O,17
773,uh I honestly have no clue what I havbe,SSI-U,19
774,4.5 V,SSI-O,17
775,yep,SN-A,15
776,I think you need to lower the resistance on yours,CP-S,7
777,mine is still reading 2.61,SSI-O,17
778,and yeah  valley youre right,SN-A,15
779,trying to calculate this shit,CEC-R,1
780,R3 at 390 ohms 7.7 on the meter and my goal is 7.47,SSI-O,17
781,i have no clue it didnt say,SSI-O,17
782,3.54,SSI-O,17
783,That's because each of our circuits affects the others. So when one changes they all change.,CRF-R,9
784,how,SESU-P,11
785,R0 = (E - 0.05)/ 0.123,SSI-O,17
786,just cant remember how to find that,SSI-U,19
787,mine says zero now and we all have the same setup,SSI-O,17
788,i have 1000 ohm too for R0,SSI-O,17
789,^^^^,SMC-R,14
790,we were close on getting 2,CMC-S,5
791,0.08 away,CMC-S,5
792,plus all our volts,SSI-O,17
793,ok,SESU-A,10
794,ROGER!?,SESU-A,10
795,I think we all have to change ours till each one of our voltmeters says 2.5 on it..,CP-G,6
796,what about now?,SESU-P,11
797,nope,SN-D,16
798,So like whats e,SESU-P,11
799,plum you good?,CMC-G,4
800,ok,SESU-A,10
801,list your target voltages please?,SESU-P,11
802,yee,SMC-R,14
803,ok ill go up,CEC-R,1
804,fuq,SMC-I,12
805,I really wish i could use paper,SMC-O,13
806,good,CMC-S,5
807,ok im at goal,CMC-S,5
808,I needa be at  3.51,SSI-O,17
809,so my r is 1000,SSI-O,17
810,im .01 off,CMC-S,5
811,First things first is put your R0 and goal voltage,SESU-P,11
812,OH shit we did it,CMC-S,5
813,pliers what voltage do you need,SESU-P,11
814,so  does yours randomly seem to change? like I got it on my goal but it shifts?,SESU-P,11
815,do we all have to click the we got it thing?,SESU-P,11
816,good work guys,SMC-R,14
817,there now,CEC-R,1
818,1.91 at 220,SSI-O,17
819,liar,SMC-I,12
820,im back my bad,SMC-O,13
821,1.82 volts,SSI-O,17
822,my r is 560,SSI-O,17
823,so multiply your resistance by 0.00599 to see if it matches your goal,CP-S,7
824,270,SSI-O,17
825,starting with 6v and we need to make 1.5v,CP-G,6
826,do you see that?,SESU-P,11
827,how to get the proper I eludes me,SSI-U,19
828,collie: so your multimeter is reading 470? or you mm is reading 80?,SESU-P,11
829,Later,SMC-R,14
830,nooo i need to go way higher than 150,SN-D,16
831,ive been doing that,CEC-R,1
832,yeah that works,SN-A,15
833,2.44 volts,SSI-O,17
834,"im 560, blue is 802 and green is 680",SSI-O,17
835,4.6,SSI-O,17
836,That means that R0 goal voltage is 5.98V.,SSI-O,17
837,how do we change the resistance on the resistor,SESU-P,11
838,Tiger?,CMC-G,4
839,Put your probes,CP-S,7
840,2 volts,SSI-O,17
841,5.48?,SESU-P,11
842,Ok,SESU-A,10
843,"it did that too me too, i just ha to wait alittle",SSI-O,17
844,did everyone enter the unknown value into the box?,CMC-G,4
845,bear,CMC-G,4
846,at 330,SSI-O,17
847,4.97 at 820,SSI-O,17
848,uj56trmk,SMC-O,13
849,lol,SMC-R,14
850,What if we tried that?,SESU-P,11
851,this one should work,CRF-F,8
852,This is hard,SSI-U,19
853,ok,SESU-A,10
854,my goal is 2.75,SSI-O,17
855,Maybe it needs E,CRF-F,8
856,1.54 volts,SSI-O,17
857,idk what to do,SSI-U,19
858,Forgot to subtract,SN-D,16
859,now im at 4.12,SSI-O,17
860,cus thats thousands,SSI-O,17
861,im good,SESU-A,10
862,okay okay,SESU-A,10
863,4.75,SSI-O,17
864,no,SN-D,16
865,what does your guys voltage have to be,SESU-P,11
866,was it important?,SMC-O,13
867,ayye what up,SMC-R,14
868,my goal is 2.25 volts,SSI-O,17
869,ima do my best but this stuff tough tbh,SSI-U,19
870,it worked,CMC-S,5
871,and do 20v,CP-S,7
872,our nubmers changed :'(,SSI-O,17
873,whats everyone set at,SESU-P,11
874,4.5 here,SSI-O,17
875,now I'm up at 6.8V,SSI-O,17
876,because that is current right?,SESU-P,11
877,i need to use paper...,SMC-O,13
878,way over,CMC-S,5
879,drop yours one down,CP-S,7
880,Not 1.5 ;but close,CMC-S,5
881,mine went to 2.45,SSI-O,17
882,copy that,SESU-A,10
883,click \,CP-S,7
884,.08 too high,CMC-S,5
885,Yeah mine moves on its own as well,SN-A,15
886,im at 270,SSI-O,17
887,ok,SESU-A,10
888,my thing at the top says 330 but when i measure it its 46.3? idk why,SESU-P,11
889,1 lower,SESU-A,10
890,Like when we went to 150 could you change it,SMC-O,13
891,right now I'm going to keep mine at 1k,CEC-R,1
892,3.81,SSI-O,17
893,I read 3.33 V. From R3,SSI-O,17
894,yeah mine just went down again,SN-A,15
895,well good work yall,SMC-R,14
896,15 v,SSI-O,17
897,yeee 3.25,SN-A,15
898,same,SESU-A,10
899,just set it to  390,CMC-G,4
900,green whats your goal?,SESU-P,11
901,2.43,SSI-O,17
902,one of you will hve to change,SSI-O,17
903,5.37,SSI-O,17
904,spaniel go down to 680,CEC-S,2
905,hmmm my voltage still too lower,CMC-S,5
906,ok,SESU-A,10
907,any other ideas?,SESU-P,11
908,Mine is right rn,CMC-S,5
909,I'm R1 680,SSI-O,17
910,do yall know what setting to put the meter on to see the resultant current?,SESU-P,11
911,im at 270 with 2.47,SSI-O,17
912,or make it 680,CP-S,7
913,im at .67 v at 150 resistance,SSI-O,17
914,"I did not, I think she will give us an extension",SMC-O,13
915,"yes, im reading 2.75 v",SN-A,15
916,at 2.32,SSI-O,17
917,I think we need to use current to solve this. Mine is 18.6 amps,CP-S,7
918,wher the hell are you,CMC-G,4
919,i have it exactly now,CMC-S,5
920,everyone write down whatever resistance they have right now to remeber it,SESU-P,11
921,ya meter doesnt show that very well,SN-A,15
922,i'm at 560,SSI-O,17
923,Did you break your circuit to measure amps?,SESU-P,11
924,6.5 on meter,SSI-O,17
925,now im at 8.42,SSI-O,17
926,3.27 v,SSI-O,17
927,only two units to choose from,SSI-O,17
928,2.66 volts,SSI-O,17
929,0.78/10=I,SSI-O,17
930,what step r u confused on? did u get how we got the current?,SESU-P,11
931,"ah well, it was worth a shot",SMC-R,14
932,i'm calculating around 150 ohms,CEC-R,1
933,.67 off by .04,CMC-S,5
934,1.76 now,SSI-O,17
935,1.69,SSI-O,17
936,done,CMC-S,5
937,Was literally typing out if we guess and check enough we will get it hahahha,CP-S,7
938,"so, we can figure out the voltage of R0",SSI-O,17
939,No,SN-D,16
940,going down one more,CEC-R,1
941,it is reading 22 for me at 200 k and 1 at 20 k,SSI-O,17
942,no,SN-D,16
943,I'm reading 5.33 V when I should have 5.35 V,CMC-S,5
944,Oh wait i'm the first resistor in the circuit,SSI-O,17
945,hmmmmmmm,SSI-U,19
946,pineapple,SMC-O,13
947,yeah,SN-A,15
948,59i0,SMC-O,13
949,well he dont even know,SSI-O,17
950,my goal is 4.5V,SSI-O,17
951,ape,SMC-I,12
952,"I'm 6.38A,  3.73 volts",SSI-O,17
953,mine too,SESU-A,10
954,im at 6.45 now,SSI-O,17
955,yes,SN-A,15
956,0.57,SSI-O,17
957,So R1 goes first and sets it right?,SESU-P,11
958,"So, are we controlling the amperage?",SESU-P,11
959,180,SSI-O,17
960,2,SSI-O,17
961,yeah,SN-A,15
962,seagull go 560,CEC-S,2
963,ill go up to 68,CEC-R,1
964,to get the voltage drop for R0,SESU-A,10
965,ice cream go to 150,CEC-S,2
966,And i need 5.71,SSI-O,17
967,meter isnt reading now,SSI-O,17
968,2=(.05333*Req+Req),SSI-O,17
969,some one changed that,SSI-O,17
970,bear the resistor too,SSI-O,17
971,we each indivdually have our own R0,SSI-O,17
972,true i agree with that,SN-A,15
973,I was just at 4.13,SSI-O,17
974,someone has cut the wire,CMC-G,4
975,"ok, i think i need a 220 ohm resistor. putting it in.",CEC-R,1
976,but 17v is right for e,CMC-S,5
977,and i got 1.67,SSI-O,17
978,drop it to 120,CEC-S,2
979,Same,SESU-A,10
980,3.44,SSI-O,17
981,I believe it is 12/390 assuming E=IR,SSI-O,17
982,im falling asleep,SMC-O,13
983,the odd one out removes the wires from the bread board and measures the voltage,CP-S,7
984,ok,SESU-A,10
985,390,SSI-O,17
986,3.5 also,CMC-S,5
987,4.7 is my goal,SSI-O,17
988,yeah,SN-A,15
989,acton?,CMC-G,4
990,yea,SN-A,15
991,4.25,SESU-A,10
992,9,SSI-O,17
993,are your things on the outside of the resistor or somewhere else,SESU-P,11
994,yea,SN-A,15
995,yes,SN-A,15
996,"so who can read the amps, I think they are wrong",SESU-P,11
997,put your R to 820,CP-S,7
998,5.13 V,SSI-O,17
999,ooookaaaay,SESU-A,10
