,Text,Label
41358,then we just divide our respective voltages by that to get our resistance for each,CP-S
41359,yeah we can break the circut,CP-S
41360,we should all set our resistances to 0 or something for easy calculation,CP-S
41361,we can measure the voltage drop with the multimeter,CP-S
41362,set it to about 70 ohm,CP-S
41363,now that we have E we can treat this like the last step,CP-S
41364,so divide your voltage by that value and we should all get it,CP-S
41365,well there's 120 and use 2 10's,CP-S
41366,try 220,CP-S
41367,ok lets have each person increase the resistance until we get as close to 3.25 as possible then the next person can try to get closer and so on,CP-S
41368,*decrease resistance,CP-S
41369,bump your resistance up to 330 and we can go from there,CP-S
41370,lets all try 560 and see what happens,CP-S
41371,ok lets all go to 680 now,CP-S
41372,go to 680 guys,CP-S
41373,I say we just mess around with it like last time,CP-S
41374,whoever is furthest off change yours to correct it,CP-S
41375,so we all need to be a little lower,CP-S
41376,actual math now :/,CP-S
41377,everyone just solve for your own voltage and we can add it up,CP-S
41378,can someone try changing their resistor again,CP-S
41379,try dividing your goal by 0.0171,CP-S
41380,and then pick the closest resistor to that value,CP-S
41381,someone move theirs up or down 1,CP-S
41382,try using the numbers that we found individually because if I is the same throughout the circuit we should all get the same answer,CP-S
41383,everyone try doing I=V/R with the numbers from your own circuit,CP-S
41384,see if you get .0086470,CP-S
41385,"oh, I mean lets try it and see if we get it right",CP-S
41386,go down,CP-S
41387,so try and get close and then let me know when you are around and we can figure it out,CP-S
41388,iowa you go while me and ohio stay and you try and get close then we will take turns we we dont fuck up either persons reading,CP-S
41389,you lot need to change your vallue and stay there and i will try and get you up to it,CP-S
41390,we go one at a time and then after each of us have gone we stay if we need to go high or lower to reach the target,CP-S
41391,lets try having yall go down,CP-S
41392,aye let's hear it,CP-S
41393,remember you value,CP-S
41394,aye peeps right down your answers,CP-S
41395,We can try adding up all the resistances,CP-S
41396,Let's try that. Mine was 390 ohms,CP-S
41397,Lets try it,CP-S
41398,lets try it!,CP-S
41399,Lets try hammers idea of IxR0 + IxR1,CP-S
41400,lets try,CP-S
41401,Let's try it!,CP-S
41402,We should divide our voltage goal by the resistor value we have to find the current that is the same throughout the circuit. Then plug in E=IxR0 + IxR1 + IxR2 + xR3. because then we will have the same I value across the whole circuit to use,CP-S
41403,"Wait guys, for your resistor, calculate what you get for V1/R1 or V3/R3.",CP-S
41404,and then we should be able to get E if our math is correct,CP-S
41405,okay now we should be able to plug that value into the E=IxR0 + IxR1 + IxR2 + IxR3 equation and get E!,CP-S
41406,Was literally typing out if we guess and check enough we will get it hahahha,CP-S
41407,lets all change our resistances to 270 and see if it tells us we succeeded,CP-S
41408,so we need to decrease,CP-S
41409,okay lets use our ohms law knowledge to figure this out,CP-S
41410,well we'll have to use V=IR,CP-S
41411,i think we just need to obtain our needed voltage and then do the math for E,CP-S
41412,get that first then E,CP-S
41413,try whatever,CP-S
41414,we need to do this in sequence,CP-S
41415,go down,CP-S
41416,raise your resistance a little bit and see where it puts you,CP-S
41417,so we need to do a reverse process to find the E before its decreased by r0,CP-S
41418,look so when we find the total E we can pllug it into V=IR to find the resistance that we each need',CP-S
41419,so now we need to do the math,CP-S
41420,Let's start with R1,CP-S
41421,We have to adjust our resistance so that the current increases,CP-S
41422,So we need to make our resistances higher,CP-S
41423,To find the current we have to add up all of our resistances plus R0,CP-S
41424,Ok. Let's all set our resistance to 270,CP-S
41425,So we have to adjust to each other,CP-S
41426,Let's try this:,CP-S
41427,We should settle on a total resistance,CP-S
41428,"So the way we do it is make sure that as we adjust, all three of us add up to 1000 ohms",CP-S
41429,Ok. We have to make it to where all 3 of us add up to 100,CP-S
41430,"Ok. To find E, we need to disconnect all of our resistors and connect our voltmeters.",CP-S
41431,Everyone set your resistance to 100,CP-S
41432,do 470 ohms,CP-S
41433,"Everyone try setting the resistence to 100, that should get us to 4.7 volts",CP-S
41434,Divide your goal by the current which is .0085,CP-S
41435,this is trial and error now. Fries keep going up,CP-S
41436,someone try upping the resistance by one step,CP-S
41437,add 180 to 680,CP-S
41438,or add up uor volts,CP-S
41439,that increased it lets try a different ohm,CP-S
41440,drop yours one down,CP-S
41441,drop yours,CP-S
41442,double click r1,CP-S
41443,lets all drop to 100 ohms and see what happens,CP-S
41444,so increase ohms,CP-S
41445,we just have to do the same thing weve been doing then at the end will add it up for the voltage,CP-S
41446,bear go up one,CP-S
41447,now lets find e,CP-S
41448,maybe divide,CP-S
41449,try it out,CP-S
41450,put in your resistance,CP-S
41451,MEASURE YOUR VOLTAGE,CP-S
41452,decrease resistance,CP-S
41453,once we find our resistance we have to find current,CP-S
41454,everyome set your resistor to 120,CP-S
41455,look at the power formula,CP-S
41456,everyome go to 10,CP-S
41457,everyone go to 100,CP-S
41458,staay at 100,CP-S
41459,go to 220,CP-S
41460,change to 820,CP-S
41461,starrt at 1k,CP-S
41462,then we have to take the total,CP-S
41463,everyoe set to 1k,CP-S
41464,we are going to have to experiment,CP-S
41465,so i think we need to keep our resistance at one point and calculate the current,CP-S
41466,everyone set to 820 ohms,CP-S
41467,everyone got to 1k,CP-S
41468,everyone stay at 1k,CP-S
41469,ok so everyone vhange it to 820,CP-S
41470,lets all start at 1k resisitor,CP-S
41471,then we add all of those to find r0,CP-S
41472,lets try 180 150 120 tim go 180 chris go 150 ill go 120,CP-S
41473,do 180 and try it,CP-S
41474,i got 300 so lets try 330,CP-S
41475,can everyone change their resistor to 1k real fast,CP-S
41476,one person needs to change theres around util they get their v,CP-S
41477,then the next person will go,CP-S
41478,everyone type 15 volts,CP-S
41479,type 15 at bottom,CP-S
41480,ok we are adjusting,CP-S
41481,"every one get a fixed resistor, and one person can change his resistor to get a fixed voltage",CP-S
41482,can someone change their resistor value,CP-S
41483,math time,CP-S
41484,lets try it,CP-S
41485,somebody change somthing,CP-S
41486,or any of you change resistance,CP-S
41487,put 12 in unknown,CP-S
41488,okay so let's make all of ours 820 ohms,CP-S
41489,try going down a value,CP-S
41490,some one bump theirs up one,CP-S
41491,So someone bump theirs down one resistor,CP-S
41492,Other way,CP-S
41493,everybody change it to 220,CP-S
41494,Everyone try 560,CP-S
41495,Someone bump theirs up one,CP-S
41496,use our goal voltage divide it,CP-S
41497,divide your voltage by the current,CP-S
41498,Take your resistor value and the voltage on the red thing and calculate the current,CP-S
41499,hold on everyone switch the multimeter to the amp side for 200MU,CP-S
41500,try this,CP-S
41501,Go up real quick,CP-S
41502,it is ok try 270,CP-S
41503,alright someone go down now,CP-S
41504,other way other way,CP-S
41505,alright go up one again,CP-S
41506,other way other way,CP-S
41507,every one check the 20m setting first,CP-S
41508,every one make there resistance 390,CP-S
41509,now check the amps,CP-S
41510,then just plus voltage together,CP-S
41511,go back to 390 and everyone check ther voltage,CP-S
41512,then we'll sum all our V's together,CP-S
41513,ok add them up,CP-S
41514,just take your goal V and divide by .007805,CP-S
41515,let's measure the current I and find V,CP-S
41516,check amps again,CP-S
41517,"nvm, do 1k and we'll see",CP-S
41518,"ok, so now like before, solve v+ir for goal",CP-S
41519,ok so lets try that with ohms law then,CP-S
41520,So we should use the current coming out of R0,CP-S
41521,lets work from there then same as before,CP-S
41522,set all same ohms,CP-S
41523,and we distributer around until we get our values,CP-S
41524,so we need to increase our voltage drop total by 2.4 V,CP-S
41525,someone bump up their resisotr one notch,CP-S
41526,we have 3.09 total voltage we have to go down by .09,CP-S
41527,we gotta go down,CP-S
41528,so someone else drop your resistor,CP-S
41529,"lets all go to 220, see what happens",CP-S
41530,so we need to calculate the voltage drop over each and use to calculate our invidual resistor value,CP-S
41531,so we have to go in order since what ever circuit 1 is will effect the later,CP-S
41532,we can use that to get a current and then adjust your value to hit that voltage,CP-S
41533,now we go to circuit 2,CP-S
41534,everyone set to 270,CP-S
41535,pick your resistance off of that,CP-S
41536,someone needs to enter the unknown value,CP-S
41537,everyone go to 100 ohms,CP-S
41538,set to maximum resistance,CP-S
41539,try 1M,CP-S
41540,"if we all have the same r we should be good (16/4=4), so set em to 150",CP-S
41541,set it to 150,CP-S
41542,you can guess and check from there but r1 needs to go first,CP-S
41543,then r2,CP-S
41544,"we cant set our r to 0, so just pick 10",CP-S
41545,so just trial and error and then ill do mine then 3,CP-S
41546,so we just do some proportion stuff then,CP-S
41547,maybe just do v across yours to be the thing you need,CP-S
41548,everyone switch to 450 ohm,CP-S
41549,sdo we add our resistance,CP-S
41550,so everyone go to 1000 ohm,CP-S
41551,increase by one level,CP-S
41552,now just adjust the resistor until you get 4,CP-S
41553,so circut 2 adjust the resistor till you get 4 on the multimeter and then circut 3 adjust till you get 4 on the multimeter i think,CP-S
41554,try a greater resistor,CP-S
41555,okay try the 680,CP-S
41556,play around with it and see if you can get to something close to 4,CP-S
41557,okay now someone else change theirs,CP-S
41558,let's try to find ones below 1k,CP-S
41559,okay lets all go to 680 ohms,CP-S
41560,so we need to go up,CP-S
41561,everyone go up 1 and ill go down one,CP-S
41562,"maybe were too close together? ill go down 4, pliers go up 4",CP-S
41563,let's both go down 1,CP-S
41564,drop it to 100,CP-S
41565,Ok lets try this,CP-S
41566,so maybe yall try 280,CP-S
41567,reduce ur resistors,CP-S
41568,just press anything guys,CP-S
41569,plug the cable back in,CP-S
41570,keep the resister as 560,CP-S
41571,or make it 680,CP-S
41572,register as 680,CP-S
41573,everybody keep the first one,CP-S
41574,okay lets go then,CP-S
41575,now lets try little higher,CP-S
41576,1K is perfect,CP-S
41577,lets use that,CP-S
41578,lets go for 680k ohms,CP-S
41579,"i know, try 100k",CP-S
41580,use 18k,CP-S
41581,DO THAT,CP-S
41582,flip the red and black cable the negative sign will disappear,CP-S
41583,33K FAST,CP-S
41584,GOO,CP-S
41585,i think we should reduce,CP-S
41586,To change the resistance click on the resistor thing,CP-S
41587,"Okay, so we gotta do some math",CP-S
41588,So let's calculate the voltage of R0 real quick,CP-S
41589,Everybody set your resistance to 10,CP-S
41590,Wait no yeah put it on 10,CP-S
41591,Everybody set your resistance to like 100,CP-S
41592,Try 82,CP-S
41593,"Okay, let's try putting it on step higher",CP-S
41594,See how it changes,CP-S
41595,Okay so we gotta take it up even higher,CP-S
41596,Try 220,CP-S
41597,One step higher,CP-S
41598,One step higher I guess,CP-S
41599,"Okay, back to math",CP-S
41600,Good old ohms law,CP-S
41601,ya lets get all our info together,CP-S
41602,Increase the resistance up a notch,CP-S
41603,can we all put it on 120,CP-S
41604,"Idk though, worth a shot",CP-S
41605,Everybody divide your goal by .0080833333333,CP-S
41606,Everyone recheck their math,CP-S
41607,Each resistor affects the others so do we need to coordinate and pick ones at the same time,CP-S
41608,try 560 all,CP-S
41609,just unhook the battery and probe it,CP-S
41610,unhook the green wires and connect the red to the left and the black to the right and that will give you the vale,CP-S
41611,then hook it back up,CP-S
41612,try 154.1,CP-S
41613,double click on it,CP-S
41614,switch red and blue around,CP-S
41615,change ohms to 390,CP-S
41616,calculate it,CP-S
41617,so get a current measurement,CP-S
41618,then solve,CP-S
41619,then divide what ever volts you need by .075,CP-S
41620,go to DCV 20,CP-S
41621,click on 22 ohms for resistor,CP-S
41622,divide your goal by .075,CP-S
41623,so you guys need to change yours,CP-S
41624,ok so you guys go down a bit now,CP-S
41625,go back,CP-S
41626,or up,CP-S
41627,down 1,CP-S
41628,go back,CP-S
41629,ok go,CP-S
41630,up one more everyone,CP-S
41631,just click the green wire and put one of the thingys on it,CP-S
41632,click green wire and put black thing on it,CP-S
41633,imput in the thing below Chat,CP-S
41634,so green move down,CP-S
41635,go back up,CP-S
41636,go up again,CP-S
41637,go again,CP-S
41638,go up again,CP-S
41639,blue go up one,CP-S
41640,ok set your resistors to that,CP-S
41641,everyone do their V=IR. cause V=IR(1) V=IR(2) and V=IR(3),CP-S
41642,everybody change your risistors to 220,CP-S
41643,we'll get close again and then play with it,CP-S
41644,and then each of us will go up 1 and down one.,CP-S
41645,both of you set your resistor to the same ohms its says at the top,CP-S
41646,stop where we are right now and say what you have your resistor set as,CP-S
41647,"Hold up, I'm gonna try to get mine close to it, then the second circuit can go, then the third and we can see if it averages out",CP-S
41648,so the third person should go and see if they can get it back up to 2.25,CP-S
41649,everyone go to 390 if that doesnt work go back to how we are now,CP-S
41650,say before you do partner,CP-S
41651,Someone else try going up one,CP-S
41652,someone try 390 470 and 560,CP-S
41653,Okay try going down another,CP-S
41654,lets all use 1k ohm resistor and we can just trial and error from there,CP-S
41655,hook your wires up and turn your meter one space to the right,CP-S
41656,turn your dials to acv 200 and try and make the number reach 4.0,CP-S
41657,lets try all making them the same,CP-S
41658,start at 220,CP-S
41659,so lets set r1 and r2 the same,CP-S
41660,and have r3 trial it,CP-S
41661,lets go to the next one,CP-S
41662,lets us check well,CP-S
41663,both of you go to 1000,CP-S
41664,we all gotta do 330/3,CP-S
41665,everyone do 100 ohm,CP-S
41666,Lets make circuits 1-3 and equivalent then voltage divide out to find each resistance,CP-S
41667,I think we need to use current to solve this. Mine is 18.6 amps,CP-S
41668,then we can change the resistors to get 2 volts,CP-S
41669,erry one finna try 560,CP-S
41670,alright lets do it,CP-S
41671,Try 39,CP-S
41672,Try 100 everyone,CP-S
41673,we can just guess timate until we get because all our resistances have to be equal,CP-S
41674,Try 330,CP-S
41675,If one person wants to go ahead and do the math and than tell us what to set our resistances to that might work,CP-S
41676,Try r1 = 64,CP-S
41677,so should we total all our voltages and then set that for E,CP-S
41678,everyine set their voltage to 100 ohms,CP-S
41679,try it out,CP-S
41680,"ok, everyone set resistance to 100",CP-S
41681,"try it, no idea if that will work",CP-S
41682,Everybody set your resistance to 100 ohms. Now whats your V?,CP-S
41683,you dont. you change the value of your resistor,CP-S
41684,we have to change the values of our resistors to get to the goal voltage,CP-S
41685,go back to what you originally had,CP-S
41686,we can take all our resistances and do a proportion of the total voltage to find E I think,CP-S
41687,"if you take out one end of the green leads, and connect in series and then switch the meter to measure current",CP-S
41688,dont change your r and everyone tell me your v value,CP-S
41689,put your resistors back for a sec,CP-S
41690,enter in the voltage across the bottom,CP-S
41691,V=IR chop chop,CP-S
41692,alright so I guess we have to find the current through R0 first,CP-S
41693,i think you pull out the first lead from the circuit and connect the meter into that break,CP-S
41694,you have to lift up one end of the wire and one end of the resistor and put the leads between there,CP-S
41695,I think you need to lower the resistance on yours,CP-S
41696,or...we could avoid the math and put all our resistors at the same R and just check the V each time,CP-S
41697,just start guessing every value of E,CP-S
41698,"we should all just start at 100 and see what we get, move on from there",CP-S
41699,so if you need less than that go down,CP-S
41700,E = IR and we can use our measured values of E and our resistance to determine I which is constant throughout and then use that and R0 to get E,CP-S
41701,lets just all start at 120 and go from there again,CP-S
41702,I think wee were supposed to do that first,CP-S
41703,mess around til we get it i guess,CP-S
41704,so we use E and R0 to find R1 R2 and R3,CP-S
41705,everyone hit resistance 270 and see what happens,CP-S
41706,so we need to go up,CP-S
41707,everyone hit 330 because i think thats the next one,CP-S
41708,everyone try 220,CP-S
41709,try 270,CP-S
41710,so we need math,CP-S
41711,everyone try that. Divide your V by .028 and put in the closest value,CP-S
41712,try using I as .0106,CP-S
41713,everyone divide your voltage by .010638 and put whats close.,CP-S
41714,Someone else needs to change their resistance,CP-S
41715,lower,CP-S
41716,someone go a little higher,CP-S
41717,someone needs to dial it down one notch,CP-S
41718,someone go up a resistance level,CP-S
41719,go up,CP-S
41720,someone else go down,CP-S
41721,i'm at 180 someone else has to go up,CP-S
41722,try 220,CP-S
41723,someone try going down a notch,CP-S
41724,try going 330,CP-S
41725,you have to use the meter and its measured in amps,CP-S
41726,put it on the one that says 10A,CP-S
41727,click on the resistance and a drop down menu will show some resistances,CP-S
41728,Try 390,CP-S
41729,we might just have to go through as a group and each choose the same and go through until we get 3,CP-S
41730,just trial and error,CP-S
41731,try 270,CP-S
41732,I think we have to figure out the total R to get the 3 volts and then mix and match until we get the R,CP-S
41733,dial should be set to 20 DC,CP-S
41734,okay let me get to near 2.5 and then you will probably have to go up a few clicks,CP-S
41735,bump yours up again then,CP-S
41736,do what we did before,CP-S
41737,let's try this again,CP-S
41738,someone try going up see if that works,CP-S
41739,You two try changing yours now,CP-S
41740,everyone drop to 10 ohms,CP-S
41741,put in a random number for E,CP-S
41742,Everyone calculate their Voltage first,CP-S
41743,Just put the red probe on the left and the black probe on the right of your resistor,CP-S
41744,That is step 1,CP-S
41745,"Ok, what we do now is subtract all of our Voltage's from E in order to calculate V0",CP-S
41746,just set yalls to 330 and lets play around,CP-S
41747,Somebody go back,CP-S
41748,We all have to set our resistors to different settings to reach each of our goals,CP-S
41749,lets all just set it as low as possible on 10,CP-S
41750,then we can play w it,CP-S
41751,we all have to be on the same resistance and keep building until it reaches the goal,CP-S
41752,everyone set it on 100,CP-S
41753,GO,CP-S
41754,try 330,CP-S
41755,everyone try 390,CP-S
41756,now try 470,CP-S
41757,So everyone just start at 10 again lol,CP-S
41758,so yall wil just have to adjust accordingly,CP-S
41759,both of you guys lower it to 390 and tell me what it reads,CP-S
41760,raise it up a notch,CP-S
41761,We all have different goals this time so the only way i think we will be able to figure this one out is to at least attempt to do the math,CP-S
41762,switch your red and black thingys to get it positive,CP-S
41763,HERES THE PLAN,CP-S
41764,I think the first step is calculating total resistance,CP-S
41765,EVERYONE SET RESISTANCE TO 170,CP-S
41766,"Okay guys, let's try again",CP-S
41767,So do the highest possible divided by 4,CP-S
41768,Everyone just try to play around and make your thing read 170 A,CP-S
41769,Try 3.9,CP-S
41770,Everyone make it 2.7,CP-S
41771,tr 2.2,CP-S
41772,lets do 1,CP-S
41773,Everyone do 1 and see what that gives us,CP-S
41774,Lets do 560,CP-S
41775,Try 680,CP-S
41776,Start high and work our way down,CP-S
41777,"So this time, instead of saying a specific number to try next, say UP or DOWN",CP-S
41778,lets all put our resistance to 150 to being,CP-S
41779,UP,CP-S
41780,up,CP-S
41781,Okay. Lets try 1Kohm,CP-S
41782,"Ok, north lets just run it with us two",CP-S
41783,"Okay, lets do 680",CP-S
41784,UP,CP-S
41785,down,CP-S
41786,try 560,CP-S
41787,hmmmm maybe we need to use.....math);,CP-S
41788,if we add them all up I think we can calculate R0 and then get the current,CP-S
41789,put the red lead on the left side of the resistor and the black lead on the right,CP-S
41790,can you guys change the resistance,CP-S
41791,put all of them at 330,CP-S
41792,put the resistance at 18,CP-S
41793,set it to 82,CP-S
41794,try 47 as the resistance,CP-S
41795,lets just all try 120,CP-S
41796,then well go up in increments,CP-S
41797,go back to 120,CP-S
41798,try that,CP-S
41799,go 180,CP-S
41800,look for 3 numbers that add up to 205 and we can each select one,CP-S
41801,put it to 20,CP-S
41802,okay one of you guys needs to lower your resistance some,CP-S
41803,lets all try 560 ohms,CP-S
41804,lets try that,CP-S
41805,look at my board to see the current voltage,CP-S
41806,we need to find that R first by taking V/I,CP-S
41807,find I by using R0,CP-S
41808,you can find I buy using the multimeter,CP-S
41809,try 12,CP-S
41810,change it to 12 im pretty sure that is our answer but i could be wrong,CP-S
41811,change it to 120 i was off by a multiple of 10,CP-S
41812,i guess just move up to 150 to see if it works,CP-S
41813,red or green lock in a resistor value and let the other fiddle around utnill we get 2.75,CP-S
41814,Something lower,CP-S
41815,Or I guess higher now,CP-S
41816,someone go up like 10 ohms if you can,CP-S
41817,"Someone needs to go down, I'm at 3.2",CP-S
41818,everyone go too 330,CP-S
41819,go back to the same resistance you had,CP-S
41820,take your drop/0.012 and pick the closest resistance to that,CP-S
41821,So one of us just needs to make a slight adjustment...,CP-S
41822,ok then stay the same,CP-S
41823,click on the gray cylinder and change the resistance to 470,CP-S
41824,"right click on your resistor and change the value to 470 ohms, that should be able to do it",CP-S
41825,so multiply your resistance by 0.00599 to see if it matches your goal,CP-S
41826,everyone set yours to 100 ohms,CP-S
41827,then we will all have the same voltage drop across our resistors and can find E,CP-S
41828,Hook up your multimeter to either side of your resistor- it gives the voltage drop across that resistor,CP-S
41829,round up if you have to,CP-S
41830,again divide V by I to get R,CP-S
41831,take it at 330 again for a sec,CP-S
41832,keep stepping it up to increase your voltage,CP-S
41833,"yeah, its voltage. I think if we can guess and check our own voltages to be correct, we can find the current, then calculate what R0's voltage is and then add the voltages together.",CP-S
41834,change it to 220\,CP-S
41835,"680, 270, 560",CP-S
41836,we can tell eachother our current resistor values and voltage drops and we can combine that with R0 to find E,CP-S
41837,Everyone set to 220 ohms so the drop will al be the same and we can just add them,CP-S
41838,do the math first,CP-S
41839,try decreasing each of your values,CP-S
41844,take your goal voltage and divide it by that,CP-S
41845,I need you guys to change resistor values,CP-S
41846,since all of our resistance values affect one another we should have only one person change at a time,CP-S
41847,everyone put in 10 at the bottom and we should be goof to go,CP-S
41848,it is everyone just needs to put in 10 E at the bottom where it says unknown value I believe,CP-S
41849,Put 10V at the bottom,CP-S
41850,rememrebr your resistnace,CP-S
41851,try 33,CP-S
41852,try 47 ohm,CP-S
41853,getting me 1.98 lets all put that and try and click we got it,CP-S
41854,Try 15 ohm,CP-S
41855,everyone try 100 ohm for me right quick,CP-S
41856,try 100k,CP-S
41857,try 330 for me,CP-S
41858,Try 180,CP-S
41859,just spam answers into it,CP-S
41860,whoever doesn't have theirs,CP-S
41861,tinker a bit mine is real close,CP-S
41862,go up one,CP-S
41863,try 270,CP-S
41865,If it's at 7.2 for R0 it means the current is 7.2mA throughout the circuit,CRF-F
41866,so my res is going to be the lowest of the 3,CRF-F
41867,so since paper is lowest they need the highest resistance,CRF-F
41868,given earliers fiddlings ive deduced that we can't go lower than 20 DCV,CRF-F
41869,we just need to use the calcutor if we did.,CRF-F
41870,ok so all resistors shoul dbe 390 ohms,CRF-F
41871,same volatge across each if they are the same.,CRF-F
41872,should give you your R value,CRF-F
41873,i think e=7V,CRF-F
41874,"If they're all 3V, split between 4 resistors, the resistances should all be the same as R0",CRF-F
41875,I think we all have to enter it before we can continue,CRF-F
41876,maybe we all need to be over 1k,CRF-F
41877,maybe because our resistors are so high,CRF-F
41878,I,CRF-F
41879,I think we need a bigger distance between our resistors,CRF-F
41880,"then 14V should be right, because R0 should be 3V.",CRF-F
41881,i think it has to meet what it says your specific goal is,CRF-F
41882,152.95 should be our total resistance,CRF-F
41883,if total resistance is 153,CRF-F
41884,then there would be 30 left,CRF-F
41885,ok so if R = 150 then V = 0.73,CRF-F
41886,if you set yours up right we can click on it and set ours up the same way,CRF-F
41887,because if yours changes the others do,CRF-F
41888,peach should have higher resistor i think,CRF-F
41889,i think we can just make up a e total,CRF-F
41890,and base our values off that,CRF-F
41891,i think I is 0.0162,CRF-F
41892,"ok, so to make 2.5 volts the total resistance should be about 154",CRF-F
41893,"if mine is 39, the other two r's should sum up to 154",CRF-F
41894,im still at 0 for mine at the DVC setting so i think that the ohms on circuit 1 need to be reduced so that i can get a reading,CRF-F
41895,but even if you have 8.2M we should be getting a reading,CRF-F
41896,is everyones wires connected in. I accidentally was not connected before so maybe that is why no readings are coming through,CRF-F
41897,maybe if we have the same one it will work,CRF-F
41898,going to assume we all need .83 again,CRF-F
41899,E=sum of the three circuits. I believe each of the three individual IRs added together.,CRF-F
41900,like i think r is our added resistances but i have no idea what e is,CRF-F
41901,i think its 4,CRF-F
41902,I think the middle cursiut needs to stay at 150,CRF-F
41903,i think the middle should stay at 150 and the two ends move up and dow.  if that made any sense,CRF-F
41904,"if we know v1, v2, and v3, we know what E =, then we can find v0. right, so then how do we find the current I?",CRF-F
41905,because if you subtract the sum of ours voltages from the total (14) you get 1.15,CRF-F
41906,I think that all of us,CRF-F
41907,everyone should be 150,CRF-F
41908,if everyone has the same goal the resistors should be the same,CRF-F
41909,We've gotta some math I think,CRF-F
41910,I guess miss around with the resistor until you get your volts,CRF-F
41911,i think we need to combine all the boards,CRF-F
41912,the sum should be 17,CRF-F
41913,"i think when one of us changes the resistor, it changes the voltage for all of us",CRF-F
41914,i think it's the voltage,CRF-F
41915,if i do mu e=ir then i get 1416 at my e,CRF-F
41916,all 3 should be the same,CRF-F
41917,guessed 10v,CRF-F
41918,so i think our i total is .0047 amps,CRF-F
41919,"all the math adds up if our resistors are 470, 150,390, and 690",CRF-F
41920,i think i should be 120,CRF-F
41921,that divided by the resistance should give curent,CRF-F
41922,so our voltage drops need to add up to 11.13 v,CRF-F
41923,"I think we use that, put it in V=IR. and alter our R accordingly",CRF-F
41924,"all the voltages have to add together. if the voltage thru our 3 resis is 2.25, then 2.25V has to go thru R0",CRF-F
41925,so I think the resistance is supposed to be 220 for all the resistors,CRF-F
41926,so i think the best choice would be 180,CRF-F
41927,try 1k if you need .78 and try 330 if you need 2.56,CRF-F
41928,"look here bucko, im set to DCV 20, if thats not volts than im not sure what is",CRF-F
41929,Because if we know I and we know each V then we can find Vtot,CRF-F
41930,If we go one by one starting with circuit one it should help,CRF-F
41931,"Like if they get theirs, then I get mine, then circuit 3 goes",CRF-F
41932,"I should have highest R in group, thats all ive got at this point",CRF-F
41933,So Circuit one should be able to increase now,CRF-F
41934,i think we find the current by setting out resistors to a number,CRF-F
41935,"i think because 2.5 is one quarter the total V and each resistor being the same resistance, since there are 4, makes it even",CRF-F
41936,i think we calculate the current based on that,CRF-F
41937,and then devide our voltage by the curent to find our resistor,CRF-F
41938,...we should all have the same voltage right now,CRF-F
41939,then we can calculate the battery voltage based on total resistance,CRF-F
41940,if you break it between the green wire and the resistor and put the probes in between,CRF-F
41941,if we add R0 R1 R2 and R3 we know the battery voltage so we can solve for I,CRF-F
41942,Wont that current just change though if we change the resistance,CRF-F
41943,that value would equal the voltage in R0,CRF-F
41944,Well if we kirchoff the loop our drops will all equal the battery,CRF-F
41945,if we add up our resistances with R0 and multiple by I we have V,CRF-F
41946,with target values it will be 0.005,CRF-F
41947,if we solve for r0 first we can find e easy,CRF-F
41948,"Oh, if you click on it it changes, got it",CRF-F
41949,i think our r will be the same,CRF-F
41950,i think the units may be off,CRF-F
41951,So mine is last so it won't change,CRF-F
41952,and then use that i for the whole shabang,CRF-F
41953,i think it should be each of us at 150 ohms,CRF-F
41954,i think we can measure the AMP,CRF-F
41955,then we can find v0,CRF-F
41956,i think the battery is 13V tho cause if you just measure with the green wire with 1 up you get 13V,CRF-F
41957,"wait green, why cant you change resistance? if i click on my resistor i can change its resistance",CRF-F
41958,i think something might be wrong with yours cause i dont think it shold be locked,CRF-F
41959,"so I measured 4.07V and if the current is 0.009, my R1=452Ohm",CRF-F
41960,i think we still have to get to the correct voltage of each resistor,CRF-F
41961,current would have to be 0.0159 for green to have 820,CRF-F
41962,"Okay, so that means we should end up with the same resistor value.",CRF-F
41963,I think my resistor value is about 120 ohms.,CRF-F
41964,I think mine is about 1k,CRF-F
41965,"Alright. If we all set our resistors to 270 ohms, we should all get 1.5V.",CRF-F
41966,"if we have 2 circuit that equal the same amount, that will divide the voltage in half",CRF-F
41967,i think each one have our own circuit,CRF-F
41968,I think we need to use the V = I*R but idk for sure,CRF-F
41969,the unkown voltage i thought would be 5.94,CRF-F
41970,total resistance is gonna be all those combined,CRF-F
41971,im close but no quite there. My resistor is around 82 and lions should be 560 and tiger 220ish,CRF-F
41972,"ok total resistance should be equal to 1100, if r0 is equal to 20% of the voltage drop",CRF-F
41973,It is probably 12V,CRF-F
41974,"if we all set our resistance to 270, the total voltage will be equal to one of ours * 4",CRF-F
41975,ok total voltage should be 13,CRF-F
41976,"Okay, the higher I go the more voltage I get. Hey guitar, try increasing yours.",CRF-F
41977,if me and piano set ours to  8.2M ohms its basically like nothing is there so horn can just set his to what ever we need it to so we get 4.25v,CRF-F
41978,When I change it to 4.7m I get 4.54.,CRF-F
41979,So if you take 8 and divide it by 330 you get 0.024 amps right,CRF-F
41980,i think we just need to find a common resistor for each of the 3 places but im not entirely sure how to get there,CRF-F
41981,all of them i think,CRF-F
41982,I think by resistor has to be between 1K 1.5K.,CRF-F
41983,im pretty sure if we set our resistances equal to R0 we will all have a 2.5 V drop,CRF-F
41984,"so if each resistor has 2.5, they all add to 10",CRF-F
41985,"if you are measuring current, i think in this case you have to use the 10A setting",CRF-F
